# Residuals  
# Time       	Ux           	Uy           	p            
478          	8.508750e-11	4.478030e-11	5.289260e-07
479          	8.393480e-11	4.434820e-11	5.289270e-07
480          	8.279750e-11	4.392100e-11	5.289280e-07
481          	8.167530e-11	4.350280e-11	5.289290e-07
482          	8.056820e-11	4.309530e-11	5.289300e-07
483          	7.947590e-11	4.269580e-11	5.289310e-07
484          	7.839820e-11	4.230210e-11	5.289320e-07
485          	7.733500e-11	4.191210e-11	5.289330e-07
486          	7.628590e-11	4.152630e-11	5.289330e-07
487          	7.525090e-11	4.114560e-11	5.289340e-07
488          	7.422980e-11	4.076910e-11	5.289350e-07
489          	7.322240e-11	4.040190e-11	5.289360e-07
490          	7.222840e-11	4.004310e-11	5.289360e-07
491          	7.124780e-11	3.968790e-11	5.289370e-07
492          	7.028030e-11	3.933580e-11	5.289380e-07
493          	6.932580e-11	3.898800e-11	5.289380e-07
494          	6.838410e-11	3.864340e-11	5.289390e-07
495          	6.745500e-11	3.830200e-11	5.289390e-07
496          	6.653840e-11	3.796820e-11	5.289400e-07
497          	6.563410e-11	3.764060e-11	5.289400e-07
498          	6.474200e-11	3.731640e-11	5.289410e-07
499          	6.386180e-11	3.699640e-11	5.289410e-07
500          	6.299340e-11	3.667860e-11	5.289420e-07
501          	6.213680e-11	3.636310e-11	5.289420e-07
502          	6.129160e-11	3.605060e-11	5.289420e-07
503          	6.045780e-11	3.574410e-11	5.289430e-07
504          	5.963520e-11	3.544220e-11	5.289430e-07
505          	5.882360e-11	3.514350e-11	5.289430e-07
506          	5.802300e-11	3.484720e-11	5.289430e-07
507          	5.723310e-11	3.455310e-11	5.289440e-07
508          	5.645390e-11	3.426080e-11	5.289440e-07
509          	5.568520e-11	3.397180e-11	5.289440e-07
510          	5.492680e-11	3.368800e-11	5.289440e-07
511          	5.417860e-11	3.340670e-11	5.289440e-07
512          	5.344050e-11	3.312810e-11	5.289450e-07
